Kobe Bryant,0.772058823529,0.229636409019,0.281862745098,0.704529783058,2015-2016,LAL,17,SF,37,66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.417,232,281,0.826,41,206,247,184,62,13,129,115,1161,
Kyle Korver,0.75,-1,0.399305555556,0.82957619477,2015-2016,ATL,48,SG,34,80,80,2401,268,616,0.435,158,397,0.398,110,219,0.502,0.563,45,54,0.833,14,246,260,164,60,35,98,161,739,
Lavoy Allen,-1,0.532338948181,-1,0.904992212476,2015-2016,IND,45,PF,26,79,28,1599,191,370,0.516,0,0,,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428,
Matt Barnes,-1,-1,1.19791666667,0.933273219116,2015-2016,MEM,42,SF,35,76,45,2190,264,693,0.381,119,370,0.322,145,323,0.449,0.467,111,138,0.804,84,336,420,163,78,57,121,234,758,
Monta Ellis,0.375,0.243988684583,0.598958333333,0.777727682597,2015-2016,IND,45,SG,30,81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121,
Norris Cole,-1,-1,-1,1.24436429216,2015-2016,NOP,30,PG,27,45,23,1198,196,484,0.405,33,102,0.324,163,382,0.427,0.439,52,65,0.8,10,141,151,167,37,5,75,102,477,
Omri Casspi,-1,0.780763790665,1.91666666667,0.248872858431,2015-2016,SAC,33,SF,27,69,21,1880,299,622,0.481,112,274,0.409,187,348,0.537,0.571,103,159,0.648,58,352,410,95,56,17,94,154,813,
Otto Porter,-1,1.56152758133,-1,0.248872858431,2015-2016,WAS,41,SF,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,
Paul George,0.3,0.195190947666,-1,0.995491433724,2015-2016,IND,45,SF,25,81,81,2819,605,1448,0.418,210,565,0.372,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,
Paul Pierce,0.7,0.455445544554,-1,0.663660955816,2015-2016,LAC,53,SF,38,68,38,1231,144,397,0.363,75,242,0.31,69,155,0.445,0.457,54,66,0.818,12,174,186,71,33,17,58,129,417,
Rajon Rondo,0.166666666667,0.542197076851,-1,0.82957619477,2015-2016,SAC,33,PG,29,72,72,2537,355,782,0.454,62,170,0.365,293,612,0.479,0.494,87,150,0.58,77,358,435,839,141,10,278,175,859,
Ricky Rubio,1.71428571429,0.557688421903,-1,0.177766327451,2015-2016,MIN,29,PG,25,76,76,2323,219,586,0.374,62,190,0.326,157,396,0.396,0.427,266,314,0.847,40,286,326,658,162,10,193,201,766,
Robin Lopez,0.6,-1,-1,0.995491433724,2015-2016,NYK,32,C,27,82,82,2219,357,662,0.539,0,1,0,357,661,0.54,0.539,128,161,0.795,268,334,602,114,16,129,133,182,842,
Rodney Hood,-1,1.95190947666,-1,-1,2015-2016,UTA,40,SG,23,79,79,2541,408,972,0.42,161,449,0.359,247,523,0.472,0.503,172,200,0.86,38,229,267,213,73,16,125,202,1149,
Roy Hibbert,-1,0.487977369165,-1,0.933273219116,2015-2016,LAL,17,C,29,81,81,1878,182,411,0.443,0,2,0,182,409,0.445,0.443,117,145,0.807,132,266,398,95,32,110,76,252,481,
Rudy Gobert,-1,-1,4.79166666667,-1,2015-2016,UTA,40,C,23,61,60,1932,198,354,0.559,0,0,,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557,
Serge Ibaka,1.5,-1,2.39583333333,-1,2015-2016,OKC,55,PF,26,78,78,2500,416,869,0.479,60,184,0.326,356,685,0.52,0.513,91,121,0.752,141,392,533,66,38,148,108,211,983,
Tony Parker,1.02272727273,0.487977369165,0.326704545455,0.424215099598,2015-2016,SAS,67,PG,33,72,72,1980,350,710,0.493,27,65,0.415,323,645,0.501,0.512,130,171,0.76,17,159,176,379,54,11,131,114,857,
Will Barton,-1,-1,4.79166666667,-1,2015-2016,DEN,33,SG,25,82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178,
Zach LaVine,-1,-1,-1,1.24436429216,2015-2016,MIN,29,SG,20,82,33,2294,433,959,0.452,123,316,0.389,310,643,0.482,0.516,161,203,0.793,27,201,228,251,69,17,155,193,1150,
Aaron Gordon,2.5,0.32531824611,-1,-1,2015-2016,ORL,35,PF,20,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,
Al Jefferson,-1,-1,-1,1.24436429216,2015-2016,CHO,48,C,31,47,18,1096,245,505,0.485,0,0,,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,
Allen Crabbe,-1,-1,-1,1.24436429216,2015-2016,POR,44,SG,23,81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832,
Amir Johnson,-1,-1,-1,1.24436429216,2015-2016,BOS,48,PF,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,
Andrew Bogut,1.8,0.780763790665,-1,-1,2015-2016,GSW,73,C,31,70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,32,114,83,221,375,
Ben McLemore,-1,1.95190947666,-1,-1,2015-2016,SAC,33,SG,22,68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531,
Bradley Beal,1.0,0.32531824611,0.798611111111,0.414788097385,2015-2016,WAS,41,SG,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,
Brandon Bass,-1,-1,-1,1.24436429216,2015-2016,LAL,17,PF,30,66,0,1342,174,317,0.549,0,2,0,174,315,0.552,0.549,125,148,0.845,104,181,285,74,33,55,42,125,473,
Brandon Rush,0.857142857143,1.39422105476,-1,-1,2015-2016,GSW,73,SG,30,72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305,
Corey Brewer,-1,1.95190947666,-1,-1,2015-2016,HOU,41,SF,29,82,12,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590,
Courtney Lee,-1,0.975954738331,-1,0.622182146078,2015-2016,MEM,42,SG,30,51,37,1489,192,419,0.458,51,138,0.37,141,281,0.502,0.519,76,92,0.826,19,99,118,76,53,16,49,79,511,
Derrick Rose,1.0,0.35489263212,1.01641414141,0.339372079679,2015-2016,CHI,42,PG,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,
Devin Harris,-1,-1,0.684523809524,1.0665979647,2015-2016,DAL,42,PG,32,64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487,
Gerald Green,0.428571428571,-1,-1,1.0665979647,2015-2016,MIA,48,SG,30,69,14,1557,230,587,0.392,84,260,0.323,146,327,0.446,0.463,72,92,0.783,25,138,163,56,38,19,46,123,616,
Gorgui Dieng,0.6,0.390381895332,-1,0.746618575293,2015-2016,MIN,29,C,26,82,39,2220,308,579,0.532,6,20,0.3,302,559,0.54,0.537,205,248,0.827,157,428,585,143,94,96,140,219,827,
James Harden,1.26315789474,0.102732077719,1.00877192982,0.392957144891,2015-2016,HOU,41,SG,26,82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376,
Jerami Grant,-1,-1,-1,1.24436429216,2015-2016,PHI,10,SF,21,77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,
Jrue Holiday,-1,-1,-1,1.24436429216,2015-2016,NOP,30,PG,25,65,23,1831,410,935,0.439,87,259,0.336,323,676,0.478,0.485,182,216,0.843,27,168,195,391,88,22,167,148,1089,
Kelly Olynyk,3.0,-1,-1,-1,2015-2016,BOS,48,C,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,
Kemba Walker,1.2,0.585572842999,0.479166666667,0.248872858431,2015-2016,CHO,48,PG,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,127,39,171,111,1689,
Kevin Durant,2.1,-1,0.958333333333,0.124436429216,2015-2016,OKC,55,SF,27,72,72,2578,698,1381,0.505,186,480,0.388,512,901,0.568,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029,
Kosta Koufos,2.0,0.162659123055,0.399305555556,0.207394048693,2015-2016,SAC,33,C,26,78,14,1482,236,444,0.532,0,0,,236,444,0.532,0.532,57,104,0.548,169,254,423,33,40,70,48,185,529,
Kyrie Irving,2.34782608696,0.0848656294201,0.208333333333,0.162308385933,2015-2016,CLE,57,PG,23,53,53,1667,394,879,0.448,84,261,0.322,310,618,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,
Lance Thomas,-1,1.21994342291,-1,0.466636609558,2015-2016,NYK,32,PF,27,59,5,1313,169,382,0.442,44,109,0.404,125,273,0.458,0.5,102,119,0.857,34,97,131,53,22,7,57,109,484,
LeBron James,1.06730769231,0.22522032423,0.506810897436,0.526461815912,2015-2016,CLE,57,SF,31,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,
Lou Williams,-1,-1,3.19444444444,0.414788097385,2015-2016,LAL,17,SG,29,67,35,1907,283,693,0.408,110,320,0.344,173,373,0.464,0.488,352,424,0.83,31,138,169,167,62,19,107,107,1028,
Marcus Smart,-1,-1,-1,1.24436429216,2015-2016,BOS,48,PG,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,
Nerlens Noel,-1,1.95190947666,-1,-1,2015-2016,PHI,10,C,21,67,62,1965,306,587,0.521,1,2,0.5,305,585,0.521,0.522,134,227,0.59,154,388,542,122,118,100,158,192,747,
Nik Stauskas,0.384615384615,0.600587531281,0.491452991453,0.574321980995,2015-2016,PHI,10,SG,22,73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617,
Paul Millsap,-1,-1,2.39583333333,0.622182146078,2015-2016,ATL,48,PF,30,81,81,2647,501,1066,0.47,74,232,0.319,427,834,0.512,0.505,309,408,0.757,198,534,732,265,147,139,191,237,1385,
Ronnie Price,-1,-1,-1,1.24436429216,2015-2016,PHO,23,PG,32,62,18,1211,116,302,0.384,68,196,0.347,48,106,0.453,0.497,31,41,0.756,25,74,99,147,74,13,70,161,331,
Shane Larkin,-1,0.975954738331,-1,0.622182146078,2015-2016,BRK,21,PG,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,
Steven Adams,-1,0.975954738331,-1,0.622182146078,2015-2016,OKC,55,C,22,80,80,2014,261,426,0.613,0,0,,261,426,0.613,0.613,114,196,0.582,219,314,533,62,42,89,84,223,636,
Trevor Ariza,-1,1.95190947666,-1,-1,2015-2016,HOU,41,SF,30,81,81,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025,
Vince Carter,-1,-1,0.435606060606,1.1312402656,2015-2016,MEM,42,SG,39,60,3,1005,133,343,0.388,59,169,0.349,74,174,0.425,0.474,70,84,0.833,31,115,146,56,38,16,35,101,395,
Arron Afflalo,-1,-1,4.79166666667,-1,2015-2016,NYK,32,SG,30,71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,
Austin Rivers,1.5,0.487977369165,-1,0.311091073039,2015-2016,LAC,53,SG,23,67,7,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593,
Avery Bradley,-1,0.487977369165,-1,0.933273219116,2015-2016,BOS,48,SG,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,
DeMar DeRozan,0.666666666667,0.21687883074,-1,0.82957619477,2015-2016,TOR,56,SG,26,78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830,
Dirk Nowitzki,0.956043956044,0.193045992197,0.263278388278,0.65636797828,2015-2016,DAL,42,PF,37,75,75,2364,498,1112,0.448,126,342,0.368,372,770,0.483,0.504,250,280,0.893,52,437,489,132,52,52,84,161,1372,
Dwight Howard,0.75,0.162659123055,0.598958333333,0.674030658251,2015-2016,HOU,41,C,30,71,71,2280,372,600,0.62,0,6,0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976,
Evan Fournier,1.2,-1,1.91666666667,0.248872858431,2015-2016,ORL,35,SF,23,79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213,
Iman Shumpert,1.5,-1,2.39583333333,-1,2015-2016,CLE,57,SG,25,54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311,
Isaiah Canaan,1.0,0.975954738331,-1,0.207394048693,2015-2016,PHI,10,SG,24,77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846,
Jabari Parker,0.705882352941,0.746318329312,0.986519607843,0.219593698616,2015-2016,MIL,33,PF,20,76,72,2408,443,899,0.493,9,35,0.257,434,864,0.502,0.498,175,228,0.768,123,272,395,130,69,29,116,154,1070,
Jonas Jerebko,-1,1.95190947666,-1,-1,2015-2016,BOS,48,PF,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,
Julius Randle,1.5,0.487977369165,-1,0.311091073039,2015-2016,LAL,17,PF,21,81,60,2286,358,835,0.429,10,36,0.278,348,799,0.436,0.435,193,270,0.715,172,657,829,144,53,29,149,242,919,
Kawhi Leonard,1.76470588235,0.344454613529,0.281862745098,0.219593698616,2015-2016,SAS,67,SF,24,72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523,
Kent Bazemore,-1,0.975954738331,2.39583333333,-1,2015-2016,ATL,48,SF,26,75,68,2083,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872,
